Date,Country,City,Specie,Value
6/27/2019,IN,Chandigarh,so2,12.4
6/27/2019,IN,Chandigarh,wind-speed,2.6
6/27/2019,IN,Chandigarh,humidity,47.9
6/27/2019,IN,Chandigarh,pm25,136.7
6/27/2019,IN,Chandigarh,no2,7.0
6/27/2019,IN,Chandigarh,pm10,277.3
6/27/2019,IN,Chandigarh,dew,20.4
6/27/2019,IN,Chandigarh,co,3.9
6/27/2019,IN,Chandigarh,temperature,31.1
6/28/2019,IN,Chandigarh,pressure,736.7
6/28/2019,IN,Chandigarh,o3,29.9
6/28/2019,IN,Chandigarh,so2,10.8
6/28/2019,IN,Chandigarh,wind-speed,2.5
6/28/2019,IN,Chandigarh,humidity,51.1
6/28/2019,IN,Chandigarh,pm25,123.3
6/28/2019,IN,Chandigarh,no2,9.9
6/28/2019,IN,Chandigarh,pm10,103.0
6/28/2019,IN,Chandigarh,dew,21.5
6/28/2019,IN,Chandigarh,co,3.3
6/28/2019,IN,Chandigarh,temperature,33.5
6/29/2019,IN,Chandigarh,pressure,740.3
6/29/2019,IN,Chandigarh,o3,29.0
6/29/2019,IN,Chandigarh,so2,6.4
6/29/2019,IN,Chandigarh,wind-speed,2.3
6/29/2019,IN,Chandigarh,humidity,44.5
6/29/2019,IN,Chandigarh,pm25,142.3
6/29/2019,IN,Chandigarh,no2,10.9
6/29/2019,IN,Chandigarh,pm10,136.3
6/29/2019,IN,Chandigarh,dew,21.3
6/29/2019,IN,Chandigarh,co,3.5
6/29/2019,IN,Chandigarh,temperature,34.5
6/30/2019,IN,Chandigarh,pressure,737.5
6/30/2019,IN,Chandigarh,o3,30.1
6/30/2019,IN,Chandigarh,so2,10.4
6/30/2019,IN,Chandigarh,wind-speed,2.4
6/30/2019,IN,Chandigarh,humidity,42.3
6/30/2019,IN,Chandigarh,pm25,129.7
6/30/2019,IN,Chandigarh,no2,12.6
6/30/2019,IN,Chandigarh,pm10,139.7
6/30/2019,IN,Chandigarh,dew,22.1
6/30/2019,IN,Chandigarh,co,3.4
6/30/2019,IN,Chandigarh,temperature,34.0
7/1/2019,IN,Chandigarh,dew,22.5
7/1/2019,IN,Chandigarh,no2,8.0
7/1/2019,IN,Chandigarh,pm25,144.3
7/1/2019,IN,Chandigarh,pressure,739.2
7/1/2019,IN,Chandigarh,co,4.3
7/1/2019,IN,Chandigarh,temperature,33.7
7/1/2019,IN,Chandigarh,pm10,99.0
7/1/2019,IN,Chandigarh,humidity,54.6
7/1/2019,IN,Chandigarh,o3,32.6
7/1/2019,IN,Chandigarh,so2,4.6
7/1/2019,IN,Chandigarh,wind-speed,2.3
7/2/2019,IN,Chandigarh,dew,22.4
7/2/2019,IN,Chandigarh,no2,10.0
7/2/2019,IN,Chandigarh,pm25,127.7
7/2/2019,IN,Chandigarh,pressure,739.4
7/2/2019,IN,Chandigarh,co,3.6
7/2/2019,IN,Chandigarh,temperature,33.4
7/2/2019,IN,Chandigarh,pm10,95.0
7/2/2019,IN,Chandigarh,humidity,51.3
7/2/2019,IN,Chandigarh,o3,35.5
7/2/2019,IN,Chandigarh,so2,6.2
7/2/2019,IN,Chandigarh,wind-speed,2.5
7/3/2019,IN,Chandigarh,dew,26.2
7/3/2019,IN,Chandigarh,no2,11.9
7/3/2019,IN,Chandigarh,pm25,111.3
7/3/2019,IN,Chandigarh,pressure,737.2
7/3/2019,IN,Chandigarh,co,3.9
7/3/2019,IN,Chandigarh,temperature,33.1
7/3/2019,IN,Chandigarh,pm10,70.0
7/3/2019,IN,Chandigarh,humidity,61.2
7/3/2019,IN,Chandigarh,o3,25.0
7/3/2019,IN,Chandigarh,so2,4.6
7/3/2019,IN,Chandigarh,wind-speed,2.3
7/4/2019,IN,Chandigarh,dew,25.3
7/4/2019,IN,Chandigarh,no2,10.3
7/4/2019,IN,Chandigarh,pm25,87.7
7/4/2019,IN,Chandigarh,pressure,739.1
7/4/2019,IN,Chandigarh,co,3.6
7/4/2019,IN,Chandigarh,temperature,28.5
7/4/2019,IN,Chandigarh,pm10,61.7
7/4/2019,IN,Chandigarh,humidity,80.5
7/4/2019,IN,Chandigarh,o3,12.2
7/4/2019,IN,Chandigarh,so2,3.2
7/4/2019,IN,Chandigarh,wind-speed,2.8
7/5/2019,IN,Chandigarh,dew,26.2
7/5/2019,IN,Chandigarh,no2,25.7
7/5/2019,IN,Chandigarh,pm25,100.3
